trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation_fixate.started,fixation_placeholder.started,fixation_placeholder.keys,fixation_placeholder.rt,fixation_prepare.started,static_prepare.started,fixation_prepare.stopped,fixation_question.started,choice.started,question_voice.started,choice.keys,choice.rt,fixation_wait.started,static_wait.started,fixation_wait.stopped,fixation_answer.started,answer_voice.started,fixation_satisfaction.started,fixation_answer.stopped,mic.started,fixation_satisfaction.stopped,mic.stopped,mic.clip,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,15.285227954038419,15.285227954038419,space,1.6310662429314107,16.95511823205743,0.010781647055409849,18.94648221100215,18.94648221100215,18.94648221100215,18.959377714727694,d,0.8122895420528948,19.96831786900293,0.0040151659632101655,21.970197154092602,21.970197154092602,21.982899624683583,22.841699006035924,22.949976723990403,2.8837041939841583,25.82708048808854,5.983155298046768,/Users/yanivabir/Files/ShohamyLab/curiosity_motivation/energizing_pupil/energizing_pupil1/data/543947_b0_1_2023-02-23_22h27.04.066_mic_recorded/recording_mic_2023-02-23_22h27.22.324.wav,543947,001,2023-02-23_22h27.04.066,b0_1,2022.2.5,None,
1,0,1,0,26.781337702064775,26.781337702064775,space,2.7805497399531305,29.584513759007677,0.014102767105214298,31.588811633060686,31.588811633060686,31.588811633060686,31.600862013703832,d,0.6336207219865173,32.433152424986474,0.005331365973688662,34.446746970992535,34.446746970992535,34.448588335715854,35.30580389406532,35.43623903207481,2.88434937200509,38.303695987095125,5.998905882006511,/Users/yanivabir/Files/ShohamyLab/curiosity_motivation/energizing_pupil/energizing_pupil1/data/543947_b0_1_2023-02-23_22h27.04.066_mic_recorded/recording_mic_2023-02-23_22h27.34.802.wav,543947,001,2023-02-23_22h27.04.066,b0_1,2022.2.5,None,
2,0,2,0,39.23683743807487,39.23683743807487,space,107.4524831949966,146.70925349800382,0.01277948496863246,148.72292916709557,148.72292916709557,148.72292916709557,148.72938047669984,d,3.2467042000498623,152.1705570250051,0.004349229042418301,154.1805081460625,154.1805081460625,154.18830054667004,154.85177224501967,155.19493789505213,2.699167078011669,157.83976102201268,6.025344491004944,/Users/yanivabir/Files/ShohamyLab/curiosity_motivation/energizing_pupil/energizing_pupil1/data/543947_b0_1_2023-02-23_22h27.04.066_mic_recorded/recording_mic_2023-02-23_22h29.34.569.wav,543947,001,2023-02-23_22h27.04.066,b0_1,2022.2.5,None,
,,,,159.0174699369818,159.0174699369818,,,,,,,,,,,,,,,,,,,,,,,,,,,,
