questionId,type,question,answer,question_file,answer_file,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation_fixate.started,fixation_placeholder.started,fixation_placeholder.keys,fixation_placeholder.rt,fixation_prepare.started,static_prepare.started,fixation_prepare.stopped,fixation_question.started,choice.started,question_voice.started,choice.keys,choice.rt,fixation_wait.started,static_wait.started,fixation_wait.stopped,fixation_answer.started,answer_voice.started,mic.started,fixation_answer.stopped,fixation_satisfaction.started,mic.stopped,fixation_satisfaction.stopped,mic.clip,participant,session,date,expName,psychopyVersion,frameRate,
AR_75,Art,What British author wrote "Keep the Aspidistra Flying" about his years working as an assistant at a used bookshop in Hampstead?,George Orwell,AR_01_q.ogg,AR_01_a.ogg,0,0,0,149,12.907191336038522,12.907191336038522,space,0.945186463999562,13.882837540004402,0.01011637004557997,15.88457922800444,15.88457922800444,15.88457922800444,15.890615448650594,d,5.566143633099273,21.46391874307301,0.0036088459892198443,23.46847219602205,23.46847219602205,23.48105130769933,2.7030043799895793,25.190451279981062,25.190451279981062,6.714176662033424,28.31932884803973,/Users/yanivabir/Files/ShohamyLab/curiosity_motivation/energizing_pupil/energizing_pupil1/data/353683_b0_1_2023-02-24_09h50.09.287_mic_recorded/recording_mic_2023-02-24_09h50.31.740.wav,353683,001,2023-02-24_09h50.09.287,b0_1,2022.2.5,None,
FO_60,Food,What does the dish Devil on Horseback contain?,Bacon and prunes,FO_02_q.ogg,FO_02_a.ogg,0,1,1,209,29.002594631980173,29.002594631980173,space,2.2001982509391382,31.216603429988027,0.007023393991403282,33.219473739969544,33.219473739969544,33.219473739969544,33.23263090273055,d,2.486126561067067,35.722279715002514,0.006340926978737116,37.72645312396344,37.72645312396344,37.739676057655984,2.7042419830104336,39.596756343962625,39.5934171420522,6.6645988470409065,42.586149511043914,/Users/yanivabir/Files/ShohamyLab/curiosity_motivation/energizing_pupil/energizing_pupil1/data/353683_b0_1_2023-02-24_09h50.09.287_mic_recorded/recording_mic_2023-02-24_09h50.46.017.wav,353683,001,2023-02-24_09h50.09.287,b0_1,2022.2.5,None,
,,,,,,,,,,43.27954135998152,43.27954135998152,,,,,,,,,,,,,,,,,,,,,,,,,,,,
