trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation_fixate.started,fixation_placeholder.started,fixation_placeholder.keys,fixation_placeholder.rt,fixation_prepare.started,static_prepare.started,fixation_prepare.stopped,fixation_question.started,choice.started,question_voice.started,choice.keys,choice.rt,fixation_wait.started,static_wait.started,fixation_wait.stopped,fixation_answer.started,answer_voice.started,fixation_satisfaction.started,fixation_answer.stopped,mic.started,fixation_satisfaction.stopped,mic.stopped,mic.clip,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,15.773841151967645,15.773841151967645,space,1.6059106240281835,17.411418640054762,0.013686763937585056,19.4067056060303,19.4067056060303,19.4067056060303,19.417016655618013,d,3.2533723399974406,22.864590868004598,0.003810631111264229,24.875791662954725,24.875791662954725,24.885455089683333,25.553431313019246,25.744253659970127,2.889467120054178,28.54941397800576,6.088937841006555,/Users/yanivabir/Files/ShohamyLab/curiosity_motivation/energizing_pupil/energizing_pupil1/data/800035_b0_1_2023-02-23_22h29.13.374_mic_recorded/recording_mic_2023-02-23_22h29.34.634.wav,800035,001,2023-02-23_22h29.13.374,b0_1,2022.2.5,None,
,,,,29.7734912839951,29.7734912839951,,,,,,,,,,,,,,,,,,,,,,,,,,,,
