questionId,type,question,answer,question_file,answer_file,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation_fixate.started,fixation_placeholder.started,fixation_placeholder.keys,fixation_placeholder.rt,wait_duration,fixation_prepare.started,static_prepare.started,fixation_prepare.stopped,fixation_question.started,question_voice.started,duration_voice.started,choice.started,choice.keys,choice.rt,fixation_wait.started,static_wait.started,fixation_wait.stopped,fixation_answer.started,answer_voice.started,fixation_satisfaction.started,fixation_answer.stopped,mic.started,fixation_satisfaction.stopped,mic.stopped,mic.clip,participant,session,date,expName,psychopyVersion,frameRate,
FO_21,Food,What Kellogg's product was introduced to compete with Post's unsuccessful Country Squares?,Pop-Tarts,FO_01_q.ogg,FO_01_a.ogg,0,0,0,170,12.640706730890088,12.640706730890088,space,1.0098425869364291,3,13.686574069899507,0.014277184032835066,15.68085424497258,15.68085424497258,15.693940922563586,18.270732211593227,18.51804502296727,d,1.0189460959518328,19.547471796977334,0.0040577310137450695,22.551928630913608,22.551928630913608,22.564644244561592,23.343466962920502,23.359695141902193,3.8213684200309217,26.336477290955372,8.47905039100442,/Users/yanivabir/Files/ShohamyLab/curiosity_motivation/energizing_pupil/energizing_pupil1/data/560037_b0_1_2023-02-25_09h40.50.898_mic_recorded/recording_mic_2023-02-25_09h41.13.367.wav,560037,001,2023-02-25_09h40.50.898,b0_1,2022.2.5,None,
AN_23,Animal,Which animal is responsible for the most human deaths worldwide?,Mosquito,AN_01_q.ogg,AN_01_a.ogg,0,1,1,22,28.853928590891883,28.853928590891883,space,1.496211227029562,9,30.375884154927917,0.019151514978148043,32.381602125940844,32.381602125940844,32.39312246564465,37.58299650362848,37.80264927598182,d,1.3836182779632509,39.19910519698169,0.002785080927424133,48.20321545994375,48.20321545994375,48.21628334158255,48.83913326298352,50.07889665698167,9.660336755914614,51.8342253259616,13.875819887965918,/Users/yanivabir/Files/ShohamyLab/curiosity_motivation/energizing_pupil/energizing_pupil1/data/560037_b0_1_2023-02-25_09h40.50.898_mic_recorded/recording_mic_2023-02-25_09h41.38.418.wav,560037,001,2023-02-25_09h40.50.898,b0_1,2022.2.5,None,
,,,,,,,,,,53.88740014692303,53.88740014692303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
