trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation_fixate.started,fixation_placeholder.started,fixation_placeholder.keys,fixation_placeholder.rt,fixation_prepare.started,static_prepare.started,fixation_prepare.stopped,fixation_question.started,choice.started,question_voice.started,choice.keys,choice.rt,fixation_wait.started,static_wait.started,fixation_wait.stopped,fixation_answer.started,answer_voice.started,fixation_satisfaction.started,fixation_answer.stopped,mic.started,fixation_satisfaction.stopped,mic.stopped,mic.clip,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,12.842182746971957,12.842182746971957,space,1.3550551650114357,14.22712142392993,0.011970644001848996,16.223419570946135,16.223419570946135,16.223419570946135,16.23540303769211,d,0.5080453529953957,16.936134542920627,0.0032679929863661528,18.940880378941074,18.940880378941074,18.953218455604897,19.81125454895664,19.915300754946657,2.884183248039335,22.80818496993743,5.981203339993954,/Users/yanivabir/Files/ShohamyLab/curiosity_motivation/energizing_pupil/energizing_pupil1/data/990897_b0_1_2023-02-23_22h20.14.092_mic_recorded/recording_mic_2023-02-23_22h20.31.201.wav,990897,001,2023-02-23_22h20.14.092,b0_1,2022.2.5,None,
,,,,23.733516349922866,23.733516349922866,,,,,,,,,,,,,,,,,,,,,,,,,,,,
