questionId,type,question,answer,question_file,answer_file,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation_fixate.started,fixation_placeholder.started,fixation_placeholder.keys,fixation_placeholder.rt,wait_duration,fixation_prepare.started,static_prepare.started,fixation_prepare.stopped,fixation_question.started,question_voice.started,duration_voice.started,choice.started,choice.keys,choice.rt,fixation_wait.started,static_wait.started,fixation_wait.stopped,fixation_answer.started,answer_voice.started,fixation_answer.stopped,fixation_satisfaction.started,mic.started,fixation_satisfaction.stopped,mic.stopped,mic.clip,participant,session,date,expName,psychopyVersion,frameRate,
AN_72,Animal,What animal is potentially immortal?,The jellyfish Turritopsis dohrnii,AN_02_q.ogg,AN_02_a.ogg,0,0,0,71,15.110797222936526,15.110797222936526,space,0.6381975070107728,12,15.788339110906236,0.021771161002106965,17.78534595295787,17.78534595295787,17.79700979363794,24.422667196664648,24.678103415993974,d,1.6391368759796023,26.33821849990636,0.005014680908061564,38.34434632398188,38.34434632398188,38.354650875615576,39.18147503293585,39.18147503293585,12.866585669922642,42.171763752936386,17.0446181029547,/Users/yanivabir/Files/ShohamyLab/curiosity_motivation/energizing_pupil/energizing_pupil1/data/303934_b0_1_2023-02-25_09h45.30.420_mic_recorded/recording_mic_2023-02-25_09h46.05.731.wav,303934,001,2023-02-25_09h45.30.420,b0_1,2022.2.5,None,
AR_51,Art,Who is actor Miguel Ferrer's famous mother?,Rosemary Clooney,AR_01_q.ogg,AR_01_a.ogg,0,1,1,125,44.20529557298869,44.20529557298869,space,2.6553600559709594,3,46.89079378801398,0.016746836015954614,48.9057329549687,48.9057329549687,48.90746898058957,52.765337050605254,53.0020858469652,d,1.692643721937202,54.71273282694165,0.0037329759215936065,57.7166352130007,57.7166352130007,57.72914506862095,58.531609750003554,58.531609750003554,3.8415180019801483,61.530002633924596,7.856723821954802,/Users/yanivabir/Files/ShohamyLab/curiosity_motivation/energizing_pupil/energizing_pupil1/data/303934_b0_1_2023-02-25_09h45.30.420_mic_recorded/recording_mic_2023-02-25_09h46.24.920.wav,303934,001,2023-02-25_09h45.30.420,b0_1,2022.2.5,None,
GE_73,Geography,What is The Netherlands also called?,Holland,GE_01_q.ogg,GE_01_a.ogg,0,2,2,297,63.38004563993309,63.38004563993309,space,2.59833768196404,9,65.99682562495582,0.010572648025117815,68.00076257192995,68.00076257192995,68.0134603026711,70.61694884259875,70.85194095096085,d,1.4041690700687468,72.27018697699532,0.004740730975754559,81.27230526693165,81.27230526693165,81.28438736260092,82.14717773499433,82.14717773499433,9.889776467927732,85.14503260899801,15.318349306005985,/Users/yanivabir/Files/ShohamyLab/curiosity_motivation/energizing_pupil/energizing_pupil1/data/303934_b0_1_2023-02-25_09h45.30.420_mic_recorded/recording_mic_2023-02-25_09h46.49.936.wav,303934,001,2023-02-25_09h45.30.420,b0_1,2022.2.5,None,
,,,,,,,,,,88.39564891497139,88.39564891497139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
