fixation_fixate.started,fixation_placeholder.started,fixation_placeholder.keys,fixation_placeholder.rt,fixation_prepare.started,static_prepare.started,fixation_prepare.stopped,fixation_question.started,choice.started,question_voice.started,choice.keys,choice.rt,fixation_wait.started,static_wait.started,fixation_wait.stopped,fixation_answer.started,answer_voice.started,fixation_satisfaction.started,fixation_answer.stopped,mic.started,fixation_satisfaction.stopped,participant,session,date,expName,psychopyVersion,frameRate,
13.38427992502693,13.38427992502693,space,1.3385201739147305,,,,,,,,,,,,,,,,,,528214,001,2023-02-21_14h57.13.715,b0_1,2022.2.5,None,
,,,,14.756019713007845,0.014766661915928125,16.753951677004807,16.753951677004807,16.753951677004807,16.763294399661632,d,6.625482562929392,,,,,,,,,,528214,001,2023-02-21_14h57.13.715,b0_1,2022.2.5,None,
,,,,,,,,,,,,23.401708416058682,0.003378931898623705,25.407144234981388,25.407144234981388,25.418857434710176,26.08633947407361,27.177116482984275,2.7066172579070553,29.073429651092738,,,,,,,
